hour_of_day,day_of_week,bus_id,stop_id,historic_fullness
20,0,1,3,78.97
7,1,1,1,73.89
21,5,3,1,30.18
18,3,1,1,92.18
2,1,1,5,13.13
19,0,3,2,73.13
22,5,3,5,22.63
13,1,2,5,36.14
8,6,1,2,66.24
22,3,2,3,39.34
4,1,2,1,21.29
2,3,1,3,21.27
11,4,2,1,46.94
23,3,3,1,19.69
12,0,3,3,21.2
20,4,2,5,55.5
6,5,1,1,26.9
21,1,2,1,42.51
7,6,1,4,47.74
8,3,3,3,48.7
5,2,2,2,41.73
21,2,3,1,33.19
19,5,1,5,55.54
23,1,1,4,23.6
12,2,3,5,20.64
7,5,2,1,60.89
7,6,1,3,50.79
12,2,1,2,58.01
18,5,2,2,65.19
20,3,2,4,62.67
4,2,1,2,30.19
23,4,3,3,44.82
23,4,2,5,24.89
12,2,1,2,46.54
16,3,1,1,51.58
3,1,3,2,15.23
21,3,3,1,36.67
12,3,3,4,14.32
16,2,3,1,24.37
21,5,1,5,21.57
8,6,3,3,55.91
3,2,2,2,31.37
14,0,3,3,34.07
16,6,1,5,17.59
3,6,3,3,0.0
20,4,3,2,69.24
4,2,1,5,11.31
16,0,3,3,38.46
15,0,1,3,47.75
9,1,1,2,65.9
18,0,1,4,72.59
2,6,3,2,11.92
4,5,2,5,0.0
5,2,3,5,9.89
13,1,3,2,53.25
22,2,2,3,42.45
14,4,2,1,38.29
7,1,1,3,67.53
0,4,3,2,27.65
18,1,1,1,87.8
22,5,1,2,36.17
2,0,2,1,23.51
16,1,2,4,21.15
6,4,1,5,20.43
18,3,1,4,76.5
13,1,1,1,60.85
21,3,2,4,29.42
13,3,3,1,48.03
21,5,3,1,27.89
1,3,3,3,9.84
3,1,1,2,37.89
17,3,1,4,82.3
5,2,2,2,29.71
2,3,3,1,32.52
1,5,3,1,0.0
2,6,1,2,31.58
13,3,2,2,50.7
12,0,1,4,37.61
0,3,2,4,15.73
9,3,3,5,34.1
21,5,2,2,33.24
6,2,1,1,47.86
18,5,3,1,71.82
23,2,1,1,40.85
18,3,3,5,48.53
5,0,3,1,15.99
5,0,3,1,27.32
21,6,1,4,27.63
3,4,1,5,10.76
19,0,3,1,74.11
13,5,3,5,15.78
16,2,2,2,52.75
21,5,2,2,29.38
8,3,1,3,67.38
14,2,1,1,46.86
14,4,3,1,28.29
2,4,1,5,17.37
8,1,2,1,72.09
7,2,2,2,75.04
14,6,3,3,23.12
19,6,3,5,33.68
0,5,3,3,1.63
21,0,1,3,37.26
3,0,3,5,0.0
4,2,2,5,8.71
6,5,2,2,38.23
21,5,2,5,30.09
15,2,1,1,51.4
20,3,2,1,77.06
0,2,1,3,24.4
5,5,2,5,0.0
22,3,3,1,34.79
3,0,3,2,25.48
17,0,2,5,79.71
17,1,2,2,78.46
1,2,2,1,27.41
11,1,3,2,44.72
21,0,2,5,15.65
13,4,3,2,54.14
7,6,1,2,76.02
13,0,1,3,51.33
13,6,3,2,27.72
8,1,3,1,76.22
12,6,1,4,18.79
7,1,2,3,69.69
9,6,1,2,87.52
0,5,1,4,2.08
10,2,1,3,35.47
11,5,3,4,20.8
21,6,3,3,15.97
0,0,2,2,17.59
18,2,1,1,80.55
19,3,2,3,61.5
13,4,3,1,43.79
12,4,1,3,37.64
1,5,2,1,27.4
16,6,3,2,23.73
11,3,1,3,42.42
19,2,3,1,76.51
23,2,3,3,20.15
21,3,2,4,31.82
22,2,3,2,50.46
6,3,3,4,12.14
21,5,1,5,21.48
18,2,2,5,62.08
0,2,2,2,36.25
13,6,3,5,5.1
20,2,2,4,54.44
14,5,1,5,29.18
15,6,3,2,37.38
21,0,2,5,27.0
21,5,3,3,22.77
2,6,1,3,9.56
7,6,1,2,71.86
0,0,1,4,22.34
19,6,1,4,54.29
13,5,3,2,49.93
22,5,2,4,23.79
12,1,1,1,40.47
3,6,2,2,25.25
5,6,3,5,0.0
14,0,3,2,51.3
3,3,1,4,29.27
21,4,3,5,13.43
10,6,2,5,22.71
23,4,2,5,28.3
14,1,3,4,36.58
14,2,1,3,60.17
16,3,3,2,38.04
8,3,1,3,63.97
7,2,2,3,57.88
17,0,1,2,78.47
7,3,3,2,69.38
22,1,1,4,37.73
13,2,3,4,32.21
13,0,1,4,46.62
12,6,3,1,30.1
18,3,2,1,86.63
11,2,2,4,32.88
17,5,3,5,66.76
19,1,2,2,85.01
8,3,2,1,63.14
12,2,3,4,21.43
23,1,2,2,48.86
19,4,1,4,68.21
18,4,3,1,75.71
2,5,2,2,23.79
14,1,1,3,44.42
12,2,1,4,33.23
10,2,2,3,22.88
13,2,1,4,36.43
0,5,3,1,16.85
11,1,3,1,41.71
20,0,1,2,75.03
6,6,1,5,21.39
4,1,1,4,23.08
21,0,3,2,32.93
14,5,2,3,31.23
5,4,3,1,20.47
5,2,1,5,5.86
0,2,3,4,12.86
12,5,1,1,44.49
18,5,3,2,73.66
3,5,2,5,8.43
3,6,3,1,0.0
11,4,2,3,32.5
2,4,3,3,19.12
0,6,2,4,9.11
3,3,2,4,19.12
22,1,2,2,75.82
23,4,3,3,34.57
19,6,3,4,59.08
14,3,3,5,32.63
8,2,1,1,80.21
8,3,1,4,62.48
18,4,3,4,66.07
10,0,2,3,28.82
5,3,1,3,23.11
8,2,2,5,51.12
22,2,3,1,35.65
16,1,1,2,68.52
23,3,2,5,10.06
7,5,2,4,55.49
14,6,1,1,27.1
9,1,2,2,71.22
9,5,3,3,58.71
15,4,3,3,35.51
13,5,3,3,16.38
11,5,2,3,24.28
9,2,1,1,80.44
23,1,2,1,34.16
23,4,3,2,41.73
6,1,3,4,25.36
8,5,3,5,34.79
19,2,1,2,100.0
9,1,2,2,80.07
9,0,3,5,33.8
4,2,1,1,31.49
17,2,3,2,69.71
20,6,2,1,71.82
0,4,2,4,8.66
15,3,2,2,49.08
1,2,2,1,29.04
2,3,2,1,31.93
18,5,3,1,50.4
4,1,3,3,12.32
2,1,1,5,11.2
13,4,3,5,19.77
7,6,3,4,59.12
14,3,2,5,33.24
13,2,3,5,14.91
1,4,3,1,27.34
6,5,1,3,46.98
21,0,1,2,58.26
5,4,1,2,22.85
0,3,2,5,6.13
15,2,1,2,65.14
9,5,2,4,44.34
2,5,1,3,18.55
20,4,3,2,81.2
13,0,3,2,37.58
20,1,2,2,79.52
2,0,1,3,0.0
19,5,3,3,46.8
14,0,2,3,37.98
22,3,2,5,15.02
17,3,2,1,88.06
19,0,2,3,58.56
19,2,1,1,76.48
7,5,3,5,41.05
0,6,3,3,16.53
18,0,1,4,58.51
16,5,2,3,34.31
5,4,2,4,15.08
2,3,2,4,7.15
10,2,3,1,38.7
5,2,2,4,16.59
9,5,2,5,40.2
1,3,1,3,25.56
8,2,1,4,61.92
16,6,1,5,20.91
14,3,1,2,60.3
16,2,3,4,37.69
20,3,1,2,75.1
8,4,1,3,87.06
14,5,2,1,19.38
0,5,3,2,13.79
22,1,2,5,29.71
0,4,2,1,27.25
7,6,1,4,50.02
3,5,1,4,8.34
22,2,3,3,26.06
13,6,2,4,20.29
7,3,3,2,76.8
12,1,3,5,27.86
23,1,1,3,34.46
13,2,3,3,42.2
0,2,3,3,17.46
18,4,3,4,66.5
4,3,3,4,15.04
11,2,3,5,18.37
12,3,2,2,45.52
22,1,3,4,30.98
7,6,2,1,64.88
10,5,2,4,19.83
12,5,3,2,35.94
15,0,1,5,45.22
18,2,1,4,65.27
3,4,2,1,29.38
23,1,2,2,43.38
2,3,2,3,18.26
19,5,2,1,73.79
10,6,3,5,16.6
12,2,3,4,36.51
17,0,3,1,80.44
7,5,3,3,50.17
7,5,1,4,60.46
3,6,3,1,7.52
14,1,3,3,37.59
0,0,2,1,23.96
9,2,2,4,60.78
4,1,3,4,14.76
18,5,1,2,68.45
5,0,3,4,26.74
19,5,1,4,51.95
18,1,1,4,60.29
20,2,2,3,79.26
21,0,2,3,41.33
21,4,1,1,49.99
14,2,3,3,40.03
20,3,3,3,64.9
14,6,2,2,32.82
12,6,2,1,35.61
7,3,3,3,54.58
18,2,3,3,72.8
0,6,3,4,0.0
8,0,3,1,58.4
19,5,2,3,57.43
7,4,2,2,78.3
20,1,3,3,60.49
21,6,3,2,23.42
20,0,3,1,71.95
9,6,2,1,61.96
18,2,3,2,70.94
2,2,2,4,11.23
5,1,1,5,16.86
11,4,3,3,23.42
5,2,2,3,8.74
23,6,2,1,24.25
14,0,1,2,53.29
21,5,3,4,17.49
17,2,1,4,81.8
0,2,3,1,26.86
14,2,3,3,33.72
18,3,3,3,64.85
3,5,1,4,1.98
0,4,3,3,14.85
19,1,3,1,67.69
20,6,2,3,62.58
20,3,1,2,78.38
1,0,2,4,19.15
3,0,1,5,27.26
4,3,2,3,19.13
21,5,3,5,13.21
13,4,3,2,50.52
13,5,1,4,26.79
19,3,2,1,76.79
22,2,1,4,35.1
14,1,2,1,45.78
21,2,3,3,23.82
1,3,2,2,30.2
3,6,2,1,18.98
21,1,3,5,31.61
0,0,2,2,37.67
4,6,3,2,32.23
2,6,3,2,8.86
18,1,1,3,81.98
4,6,3,1,11.47
8,6,1,2,87.52
17,2,1,1,73.53
21,6,1,2,33.28
0,2,1,5,10.2
10,0,1,3,23.01
1,1,3,4,5.79
16,0,3,1,28.93
15,3,2,5,31.2
18,0,2,5,62.73
7,4,1,5,75.01
9,3,3,1,72.6
1,3,2,4,10.38
21,0,2,4,22.81
2,0,2,5,13.94
4,0,1,3,14.44
19,5,3,5,59.65
22,2,2,5,34.44
16,2,2,5,21.25
19,3,1,1,66.29
20,5,3,2,75.83
13,3,1,4,39.08
10,6,2,4,29.9
13,5,1,3,22.24
13,2,3,3,30.2
11,1,3,4,30.04
2,0,1,1,30.38
13,0,3,3,31.4
4,4,1,5,19.98
17,4,2,1,66.46
13,2,3,4,28.86
23,0,2,5,25.96
9,2,1,5,64.12
16,1,1,4,40.69
7,6,1,3,51.0
17,2,1,3,62.73
18,1,2,5,70.22
19,4,3,5,57.66
0,4,3,3,9.01
0,1,2,3,32.41
10,2,1,2,50.93
4,4,3,4,19.43
